model,precision,format,max_RAM,avg_RAM,max_CPU,avg_CPU,max_power,avg_power,max_voltage,avg_voltage,max_current,avg_current,avg_preprocessing,avg_inference,avg_postprocessing
v10n,FP32,openvino,593.86,540.44,100.00,78.41,7.95,2.54,5.21,5.12,1.55,0.50,70.1974,1282.536,3.5508
v10n,FP32,mnn,640.42,561.93,61.00,34.83,5.06,3.02,5.17,5.12,0.99,0.59,37.4105,1085.916,3.0102
v10n,FP32,tflite,638.74,553.43,100.00,72.11,6.25,2.80,5.20,5.12,1.22,0.55,50.8741,1845.849,3.1358
v10n,FP32,pytorch,658.27,573.22,90.50,45.00,5.12,2.87,5.18,5.12,1.00,0.56,33.7059,3258.144,1.6884
v10s,FP32,openvino,690.71,657.06,100.00,87.60,8.33,2.88,5.22,5.12,1.63,0.56,59.1091,3741.522,3.9258
v10s,FP32,mnn,630.77,590.28,65.90,36.12,4.59,3.00,5.16,5.12,0.90,0.59,45.1676,3673.225,4.0376
v10s,FP32,tflite,721.11,656.79,100.00,83.35,6.52,2.90,5.24,5.12,1.28,0.57,62.0265,4955.206,15.1321
v10s,FP32,pytorch,698.34,622.65,100.00,40.13,5.27,2.78,5.18,5.12,1.03,0.54,31.8855,8779.800,1.7079
v11n,FP32,openvino,672.48,612.87,100.00,78.82,8.45,2.83,5.20,5.12,1.64,0.55,54.9487,1293.304,9.9380
v11n,FP32,mnn,694.28,583.10,65.80,35.31,5.03,2.92,5.18,5.12,0.98,0.57,42.1329,1263.580,7.5441
v11n,FP32,tflite,719.84,638.03,100.00,70.05,5.93,2.77,5.20,5.12,1.14,0.54,52.7477,1881.971,11.2658
v11n,FP32,ncnn,693.56,618.19,94.40,48.40,8.92,2.94,5.24,5.12,1.75,0.57,60.4367,1146.555,12.1088
v11n,FP32,pytorch,713.36,602.13,97.40,44.88,4.81,2.82,5.19,5.12,0.94,0.55,34.2385,2715.346,5.1594
v11s,FP32,openvino,662.01,610.17,100.00,87.04,7.60,3.00,5.20,5.12,1.47,0.59,60.0083,4386.862,11.9280
v11s,FP32,mnn,701.80,627.39,69.00,36.39,4.71,3.01,5.16,5.12,0.92,0.59,48.0820,4025.087,9.4887
v11s,FP32,tflite,735.63,620.52,100.00,83.18,6.28,2.91,5.22,5.12,1.23,0.57,57.7777,4817.995,11.5017
v11s,FP32,ncnn,695.95,661.80,95.40,50.79,8.83,3.15,5.22,5.12,1.73,0.62,61.3223,4436.672,15.2473
v11s,FP32,pytorch,687.84,592.97,100.00,38.85,4.89,2.74,5.18,5.12,0.96,0.53,32.3047,7990.086,5.5812
v9s,FP32,openvino,691.24,638.25,100.00,86.64,8.24,2.98,5.23,5.12,1.63,0.58,59.5863,4186.934,17.3467
v9s,FP32,mnn,672.25,616.11,71.80,38.14,4.75,3.00,5.18,5.12,0.93,0.59,46.1124,4152.879,9.8928
v9s,FP32,tflite,711.77,668.72,100.00,84.03,6.25,2.98,5.23,5.12,1.22,0.58,57.3515,6091.341,11.3553
v9s,FP32,ncnn,694.32,646.86,96.10,47.19,9.31,3.09,5.21,5.12,1.85,0.60,61.7909,3451.270,16.5042
v9s,FP32,pytorch,705.04,617.40,100.00,39.28,5.00,2.78,5.18,5.12,0.98,0.54,32.6734,8720.382,5.4894
v9m,FP32,openvino,729.80,683.76,100.00,85.34,8.06,2.98,5.24,5.12,1.59,0.58,63.4757,10994.699,19.8375
v9m,FP32,mnn,726.54,676.94,68.40,37.94,5.28,3.03,5.17,5.12,1.04,0.59,48.6594,11294.621,13.8320
v9m,FP32,tflite,734.23,653.99,100.00,89.97,6.40,3.04,5.21,5.12,1.25,0.59,62.2051,14797.481,13.2774
v9m,FP32,ncnn,734.62,677.84,94.00,48.39,8.97,3.13,5.21,5.12,1.75,0.61,63.6887,10288.943,18.8659
v9m,FP32,pytorch,676.84,589.86,100.00,34.03,4.99,2.66,5.19,5.12,0.98,0.52,30.8426,24417.871,5.5430
